code wahlberechtigte waehler nichtwaehler wahlbeteiligung_pct gemeinde art_der_stimme ungueltige_stimmen ungueltige_stimmen_pct gueltige_stimmen csu_absolut csu spd_absolut spd gruene_absolut gruene linke_absolut linke sonstige_absolut sonstige jahr region
179111 1247 966 281 77.5 Adelshofen Z 3 0.3 963 520 54 131 13.6 89 9.2 24 2.5 199 20.7 2013 gemeinde
571111 768 604 164 78.6 Adelshofen E 4 0.7 600 380 63.3 78 13 39 6.5 23 3.8 80 13.3 2013 gemeinde
571111 768 604 164 78.6 Adelshofen Z 4 0.7 600 336 56 98 16.3 46 7.7 18 3 102 17 2013 gemeinde
772111 1833 1319 514 72 Adelsried E 10 0.8 1309 833 63.6 208 15.9 76 5.8 50 3.8 142 10.8 2013 gemeinde
772111 1833 1319 514 72 Adelsried Z 13 1 1306 686 52.5 225 17.2 75 5.7 51 3.9 269 20.6 2013 gemeinde
771111 1285 970 315 75.5 Adelzhausen E 16 1.6 954 676 70.9 102 10.7 44 4.6 21 2.2 111 11.6 2013 gemeinde
771111 1285 970 315 75.5 Adelzhausen Z 8 0.8 962 623 64.8 97 10.1 50 5.2 19 2 173 18 2013 gemeinde
274111 3070 2238 832 72.9 Adlkofen E 25 1.1 2213 1330 60.1 305 13.8 244 11 67 3 267 12.1 2013 gemeinde
274111 3070 2238 832 72.9 Adlkofen Z 14 0.6 2224 1226 55.1 325 14.6 184 8.3 64 2.9 425 19.1 2013 gemeinde
771112 4064 2999 1065 73.8 Affing E 35 1.2 2964 2056 69.4 372 12.6 141 4.8 77 2.6 318 10.7 2013 gemeinde
771112 4064 2999 1065 73.8 Affing Z 28 0.9 2971 1878 63.2 360 12.1 142 4.8 69 2.3 522 17.6 2013 gemeinde
274112 1567 1027 540 65.5 Aham E 4 0.4 1023 677 66.2 139 13.6 75 7.3 19 1.9 113 11 2013 gemeinde
274112 1567 1027 540 65.5 Aham Z 1 0.1 1026 616 60 144 14 53 5.2 24 2.3 189 18.4 2013 gemeinde
278112 1338 969 369 72.4 Aholfing E 8 0.8 961 634 66 130 13.5 16 1.7 19 2 162 16.9 2013 gemeinde
278112 1338 969 369 72.4 Aholfing Z 5 0.5 964 603 62.6 122 12.7 21 2.2 23 2.4 195 20.2 2013 gemeinde
271111 1851 1161 690 62.7 Aholming E 8 0.7 1153 754 65.4 139 12.1 36 3.1 19 1.6 205 17.8 2013 gemeinde
271111 1851 1161 690 62.7 Aholming Z 7 0.6 1154 696 60.3 148 12.8 28 2.4 25 2.2 257 22.3 2013 gemeinde
473112 3498 2571 927 73.5 Ahorn E 26 1 2545 1168 45.9 936 36.8 118 4.6 86 3.4 237 9.3 2013 gemeinde
473112 3498 2571 927 73.5 Ahorn Z 24 0.9 2547 1137 44.6 752 29.5 160 6.3 110 4.3 388 15.2 2013 gemeinde
472111 1782 1466 316 82.3 Ahorntal E 11 0.8 1455 1027 70.6 223 15.3 54 3.7 27 1.9 124 8.5 2013 gemeinde
472111 1782 1466 316 82.3 Ahorntal Z 5 0.3 1461 922 63.1 185 12.7 62 4.2 27 1.8 265 18.1 2013 gemeinde
275111 1929 1154 775 59.8 Aicha vorm Wald E 16 1.4 1138 704 61.9 199 17.5 58 5.1 38 3.3 139 12.2 2013 gemeinde
275111 1929 1154 775 59.8 Aicha vorm Wald Z 8 0.7 1146 602 52.5 203 17.7 70 6.1 48 4.2 223 19.5 2013 gemeinde
771113 15359 10187 5172 66.3 Aichach, St E 99 1 10088 6044 59.9 1946 19.3 714 7.1 253 2.5 1131 11.2 2013 gemeinde
771113 15359 10187 5172 66.3 Aichach, St Z 65 0.6 10122 5640 55.7 1780 17.6 707 7 284 2.8 1711 16.9 2013 gemeinde
774166 917 662 255 72.2 Aichen E 3 0.5 659 484 73.4 47 7.1 36 5.5 10 1.5 82 12.4 2013 gemeinde
774166 917 662 255 72.2 Aichen Z 4 0.6 658 426 64.7 59 9 33 5 7 1.1 133 20.2 2013 gemeinde
275112 2312 1485 827 64.2 Aidenbach, M E 36 2.4 1449 754 52 193 13.3 72 5 36 2.5 394 27.2 2013 gemeinde
275112 2312 1485 827 64.2 Aidenbach, M Z 21 1.4 1464 742 50.7 233 15.9 70 4.8 38 2.6 381 26 2013 gemeinde
674111 1441 1078 363 74.8 Aidhausen E 16 1.5 1062 631 59.4 172 16.2 45 4.2 47 4.4 167 15.7 2013 gemeinde
674111 1441 1078 363 74.8 Aidhausen Z 11 1 1067 622 58.3 157 14.7 51 4.8 52 4.9 185 17.3 2013 gemeinde
273113 1327 1003 324 75.6 Aiglsbach E 11 1.1 992 737 74.3 97 9.8 41 4.1 12 1.2 105 10.6 2013 gemeinde
273113 1327 1003 324 75.6 Aiglsbach Z 12 1.2 991 713 71.9 105 10.6 28 2.8 14 1.4 131 13.2 2013 gemeinde
771114 3371 2324 1047 68.9 Aindling, M E 29 1.2 2295 1503 65.5 329 14.3 136 5.9 80 3.5 247 10.8 2013 gemeinde
771114 3371 2324 1047 68.9 Aindling, M Z 19 0.8 2305 1326 57.5 291 12.6 144 6.2 67 2.9 477 20.7 2013 gemeinde
172111 6969 4612 2357 66.2 Ainring E 50 1.1 4562 2867 62.8 805 17.6 337 7.4 128 2.8 425 9.3 2013 gemeinde
172111 6969 4612 2357 66.2 Ainring Z 38 0.8 4574 2733 59.8 678 14.8 297 6.5 135 3 731 16 2013 gemeinde
773111 1078 748 330 69.4 Aislingen, M E 9 1.2 739 505 68.3 77 10.4 49 6.6 17 2.3 91 12.3 2013 gemeinde
773111 1078 748 330 69.4 Aislingen, M Z 6 0.8 742 466 62.8 85 11.5 34 4.6 12 1.6 145 19.5 2013 gemeinde
278113 2573 1872 701 72.8 Aiterhofen E 28 1.5 1844 1256 68.1 235 12.7 36 2 40 2.2 277 15 2013 gemeinde
278113 2573 1872 701 72.8 Aiterhofen Z 18 1 1854 1189 64.1 217 11.7 47 2.5 49 2.6 352 19 2013 gemeinde
777111 1605 1200 405 74.8 Aitrang E 12 1 1188 726 61.1 146 12.3 87 7.3 24 2 205 17.3 2013 gemeinde
777111 1605 1200 405 74.8 Aitrang Z 9 0.8 1191 697 58.5 169 14.2 86 7.2 23 1.9 216 18.1 2013 gemeinde
187186 1261 922 339 73.1 Albaching E 10 1.1 912 582 63.8 83 9.1 65 7.1 19 2.1 163 17.9 2013 gemeinde
187186 1261 922 339 73.1 Albaching Z 7 0.8 915 555 60.7 109 11.9 53 5.8 23 2.5 175 19.1 2013 gemeinde
675112 1724 1215 509 70.5 Albertshofen E 16 1.3 1199 642 53.5 273 22.8 70 5.8 47 3.9 167 13.9 2013 gemeinde
675112 1724 1215 509 70.5 Albertshofen Z 7 0.6 1208 591 48.9 272 22.5 67 5.5 53 4.4 225 18.6 2013 gemeinde
275114 3378 2274 1104 67.3 Aldersbach E 12 0.5 2262 1344 59.4 371 16.4 116 5.1 80 3.5 351 15.5 2013 gemeinde
275114 3378 2274 1104 67.3 Aldersbach Z 17 0.7 2257 1241 55 394 17.5 131 5.8 80 3.5 411 18.2 2013 gemeinde
779111 1255 958 297 76.3 Alerheim E 9 0.9 949 569 60 179 18.9 47 5 44 4.6 110 11.6 2013 gemeinde
779111 1255 958 297 76.3 Alerheim Z 12 1.3 946 511 54 174 18.4 57 6 43 4.5 161 17 2013 gemeinde
577113 769 563 206 73.2 Alesheim E 9 1.6 554 347 62.6 94 17 32 5.8 17 3.1 64 11.6 2013 gemeinde
577113 769 563 206 73.2 Alesheim Z 5 0.9 558 322 57.7 79 14.2 54 9.7 15 2.7 88 15.8 2013 gemeinde
774111 888 596 292 67.1 Aletshausen E 5 0.8 591 419 70.9 49 8.3 29 4.9 17 2.9 77 13 2013 gemeinde
774111 888 596 292 67.1 Aletshausen Z 4 0.7 592 419 70.8 47 7.9 24 4.1 13 2.2 89 15 2013 gemeinde
574111 888 660 228 74.3 Alfeld E 13 2 647 350 54.1 103 15.9 33 5.1 23 3.6 138 21.3 2013 gemeinde
574111 888 660 228 74.3 Alfeld Z 10 1.5 650 293 45.1 101 15.5 42 6.5 24 3.7 190 29.2 2013 gemeinde
576113 6060 4401 1659 72.6 Allersberg, M E 38 0.9 4363 2454 56.2 1012 23.2 237 5.4 167 3.8 493 11.3 2013 gemeinde
576113 6060 4401 1659 72.6 Allersberg, M Z 34 0.8 4367 2255 51.6 939 21.5 253 5.8 155 3.5 765 17.5 2013 gemeinde
178113 3681 2661 1020 72.3 Allershausen E 14 0.5 2647 1578 59.6 358 13.5 250 9.4 59 2.2 402 15.2 2013 gemeinde
178113 3681 2661 1020 72.3 Allershausen Z 13 0.5 2648 1439 54.3 336 12.7 194 7.3 68 2.6 611 23.1 2013 gemeinde
179113 2740 2193 547 80 Alling E 22 1 2171 1289 59.4 368 17 151 7 37 1.7 326 15 2013 gemeinde
179113 2740 2193 547 80 Alling Z 16 0.7 2177 1201 55.2 321 14.7 170 7.8 46 2.1 439 20.2 2013 gemeinde
772114 645 419 226 65 Allmannshofen E 9 2.1 410 259 63.2 60 14.6 21 5.1 5 1.2 65 15.9 2013 gemeinde
772114 645 419 226 65 Allmannshofen Z 3 0.7 416 232 55.8 60 14.4 24 5.8 9 2.2 91 21.9 2013 gemeinde
574112 11837 9110 2727 77 Altdorf b.Nürnberg, St E 108 1.2 9002 4278 47.5 2837 31.5 655 7.3 339 3.8 893 9.9 2013 gemeinde
574112 11837 9110 2727 77 Altdorf b.Nürnberg, St Z 82 0.9 9028 3806 42.2 2310 25.6 972 10.8 366 4.1 1574 17.4 2013 gemeinde
274113 8442 5533 2909 65.5 Altdorf, M E 57 1 5476 3190 58.3 1014 18.5 475 8.7 171 3.1 626 11.4 2013 gemeinde
274113 8442 5533 2909 65.5 Altdorf, M Z 52 0.9 5481 2989 54.5 1001 18.3 330 6 172 3.1 989 18 2013 gemeinde
375113 2587 1952 635 75.5 Alteglofsheim E 17 0.9 1935 938 48.5 357 18.4 142 7.3 45 2.3 453 23.4 2013 gemeinde
375113 2587 1952 635 75.5 Alteglofsheim Z 9 0.5 1943 943 48.5 342 17.6 159 8.2 49 2.5 450 23.2 2013 gemeinde
676111 1019 654 365 64.2 Altenbuch E 9 1.4 645 399 61.9 102 15.8 14 2.2 9 1.4 121 18.8 2013 gemeinde
676111 1019 654 365 64.2 Altenbuch Z 10 1.5 644 394 61.2 103 16 17 2.6 9 1.4 121 18.8 2013 gemeinde
376112 734 510 224 69.5 Altendorf E 4 0.8 506 233 46 198 39.1 18 3.6 3 0.6 54 10.7 2013 gemeinde
376112 734 510 224 69.5 Altendorf Z 7 1.4 503 277 55.1 103 20.5 23 4.6 14 2.8 86 17.1 2013 gemeinde
471111 1636 1145 491 70 Altendorf E 11 1 1134 651 57.4 232 20.5 58 5.1 31 2.7 162 14.3 2013 gemeinde
471111 1636 1145 491 70 Altendorf Z 9 0.8 1136 631 55.5 172 15.1 65 5.7 31 2.7 237 20.9 2013 gemeinde
478111 4448 3047 1401 68.5 Altenkunstadt E 33 1.1 3014 1806 59.9 635 21.1 101 3.4 84 2.8 388 12.9 2013 gemeinde
478111 4448 3047 1401 68.5 Altenkunstadt Z 36 1.2 3011 1601 53.2 665 22.1 124 4.1 117 3.9 504 16.7 2013 gemeinde
189111 3271 2351 920 71.9 Altenmarkt a.d.Alz E 29 1.2 2322 1396 60.1 528 22.7 175 7.5 57 2.5 166 7.1 2013 gemeinde
189111 3271 2351 920 71.9 Altenmarkt a.d.Alz Z 23 1 2328 1278 54.9 421 18.1 218 9.4 75 3.2 336 14.4 2013 gemeinde
772115 3034 2217 817 73.1 Altenmünster E 28 1.3 2189 1533 70 252 11.5 124 5.7 57 2.6 223 10.2 2013 gemeinde
772115 3034 2217 817 73.1 Altenmünster Z 27 1.2 2190 1341 61.2 297 13.6 115 5.3 58 2.6 379 17.3 2013 gemeinde
190111 2426 1842 584 75.9 Altenstadt E 13 0.7 1829 1044 57.1 335 18.3 140 7.7 46 2.5 264 14.4 2013 gemeinde
190111 2426 1842 584 75.9 Altenstadt Z 10 0.5 1832 982 53.6 313 17.1 140 7.6 55 3 342 18.7 2013 gemeinde
374111 3755 2438 1317 64.9 Altenstadt a.d.Waldnaab E 22 0.9 2416 1158 47.9 630 26.1 89 3.7 64 2.6 475 19.7 2013 gemeinde
374111 3755 2438 1317 64.9 Altenstadt a.d.Waldnaab Z 17 0.7 2421 1151 47.5 633 26.1 97 4 82 3.4 458 18.9 2013 gemeinde
775111 3685 2526 1159 68.5 Altenstadt, M E 23 0.9 2503 1516 60.6 411 16.4 144 5.8 74 3 358 14.3 2013 gemeinde
775111 3685 2526 1159 68.5 Altenstadt, M Z 17 0.7 2509 1358 54.1 380 15.1 115 4.6 92 3.7 564 22.5 2013 gemeinde
375114 1238 899 339 72.6 Altenthann E 9 1 890 546 61.3 98 11 35 3.9 17 1.9 194 21.8 2013 gemeinde
375114 1238 899 339 72.6 Altenthann Z 5 0.6 894 540 60.4 89 10 36 4 13 1.5 216 24.2 2013 gemeinde
679165 1651 1213 438 73.5 Altertheim E 13 1.1 1200 618 51.5 314 26.2 117 9.8 46 3.8 105 8.8 2013 gemeinde
679165 1651 1213 438 73.5 Altertheim Z 11 0.9 1202 549 45.7 308 25.6 125 10.4 44 3.7 176 14.6 2013 gemeinde
274114 1636 1205 431 73.7 Altfraunhofen E 13 1.1 1192 715 60 144 12.1 153 12.8 35 2.9 145 12.2 2013 gemeinde
274114 1636 1205 431 73.7 Altfraunhofen Z 8 0.7 1197 664 55.5 151 12.6 125 10.4 29 2.4 228 19 2013 gemeinde
179114 1420 1076 344 75.8 Althegnenberg E 6 0.6 1070 597 55.8 211 19.7 90 8.4 28 2.6 144 13.5 2013 gemeinde
179114 1420 1076 344 75.8 Althegnenberg Z 4 0.4 1072 570 53.2 175 16.3 108 10.1 28 2.6 191 17.8 2013 gemeinde
176112 5357 3863 1494 72.1 Altmannstein, M E 39 1 3824 2863 74.9 424 11.1 139 3.6 112 2.9 286 7.5 2013 gemeinde
176112 5357 3863 1494 72.1 Altmannstein, M Z 30 0.8 3833 2612 68.1 473 12.3 117 3.1 104 2.7 527 13.7 2013 gemeinde
174111 5699 4302 1397 75.5 Altomünster, M E 39 0.9 4263 2925 68.6 494 11.6 190 4.5 86 2 568 13.3 2013 gemeinde
174111 5699 4302 1397 75.5 Altomünster, M Z 26 0.6 4276 2692 63 469 11 238 5.6 83 1.9 794 18.6 2013 gemeinde
171111 9778 5986 3792 61.2 Altötting, St E 67 1.1 5919 3848 65 815 13.8 303 5.1 183 3.1 770 13 2013 gemeinde
171111 9778 5986 3792 61.2 Altötting, St Z 59 1 5927 3506 59.2 868 14.6 309 5.2 209 3.5 1035 17.5 2013 gemeinde
780112 7959 5944 2015 74.7 Altusried, M E 53 0.9 5891 3783 64.2 814 13.8 469 8 204 3.5 621 10.5 2013 gemeinde
780112 7959 5944 2015 74.7 Altusried, M Z 36 0.6 5908 3286 55.6 803 13.6 503 8.5 190 3.2 1126 19.1 2013 gemeinde
671111 14578 11157 3421 76.5 Alzenau, St E 178 1.6 10979 5762 52.5 2510 22.9 866 7.9 288 2.6 1553 14.1 2013 gemeinde
671111 14578 11157 3421 76.5 Alzenau, St Z 146 1.3 11011 5303 48.2 2286 20.8 970 8.8 389 3.5 2063 18.7 2013 gemeinde
778111 1095 770 325 70.3 Amberg E 12 1.6 758 452 59.6 102 13.5 53 7 22 2.9 129 17 2013 gemeinde
778111 1095 770 325 70.3 Amberg Z 12 1.6 758 408 53.8 108 14.2 52 6.9 23 3 167 22 2013 gemeinde
361000 33306 20365 12941 61.1 Amberg, Krfr. St E 187 0.9 20178 10559 52.3 5161 25.6 1107 5.5 969 4.8 2382 11.8 2013 gemeinde
361000 33306 20365 12941 61.1 Amberg, Krfr. St Z 152 0.7 20213 9671 47.8 4708 23.3 1325 6.6 963 4.8 3546 17.5 2013 gemeinde
187113 2843 2047 796 72 Amerang E 17 0.8 2030 1232 60.7 202 10 198 9.8 44 2.2 354 17.4 2013 gemeinde
187113 2843 2047 796 72 Amerang Z 15 0.7 2032 1166 57.4 243 12 185 9.1 55 2.7 383 18.8 2013 gemeinde
779112 685 504 181 73.6 Amerdingen E 3 0.6 501 362 72.3 43 8.6 26 5.2 8 1.6 62 12.4 2013 gemeinde
779112 685 504 181 73.6 Amerdingen Z 6 1.2 498 323 64.9 43 8.6 26 5.2 11 2.2 95 19.1 2013 gemeinde
573111 1655 1284 371 77.6 Ammerndorf, M E 23 1.8 1261 640 50.8 336 26.6 90 7.1 57 4.5 138 10.9 2013 gemeinde
573111 1655 1284 371 77.6 Ammerndorf, M Z 25 1.9 1259 547 43.4 302 24 107 8.5 66 5.2 237 18.8 2013 gemeinde
371111 1651 1334 317 80.8 Ammerthal E 16 1.2 1318 712 54 276 20.9 65 4.9 57 4.3 208 15.8 2013 gemeinde
371111 1651 1334 317 80.8 Ammerthal Z 9 0.7 1325 666 50.3 216 16.3 94 7.1 67 5.1 282 21.3 2013 gemeinde
676112 3084 2218 866 71.9 Amorbach, St E 29 1.3 2189 1165 53.2 526 24 137 6.3 58 2.6 303 13.8 2013 gemeinde
676112 3084 2218 866 71.9 Amorbach, St Z 27 1.2 2191 1126 51.4 506 23.1 140 6.4 72 3.3 347 15.8 2013 gemeinde
183112 4743 3223 1520 68 Ampfing E 31 1 3192 2185 68.5 389 12.2 165 5.2 73 2.3 380 11.9 2013 gemeinde
183112 4743 3223 1520 68 Ampfing Z 30 0.9 3193 1950 61.1 413 12.9 177 5.5 78 2.4 575 18 2013 gemeinde
188117 2438 1925 513 79 Andechs E 20 1 1905 1076 56.5 308 16.2 174 9.1 43 2.3 304 16 2013 gemeinde
188117 2438 1925 513 79 Andechs Z 14 0.7 1911 1064 55.7 254 13.3 193 10.1 41 2.1 359 18.8 2013 gemeinde
172112 3279 2289 990 69.8 Anger E 26 1.1 2263 1463 64.6 319 14.1 257 11.4 44 1.9 180 8 2013 gemeinde
172112 3279 2289 990 69.8 Anger Z 17 0.7 2272 1431 63 254 11.2 204 9 52 2.3 331 14.6 2013 gemeinde
561000 31234 19389 11845 62.1 Ansbach, Krfr. St E 216 1.1 19173 9072 47.3 5384 28.1 1440 7.5 992 5.2 2285 11.9 2013 gemeinde
561000 31234 19389 11845 62.1 Ansbach, Krfr. St Z 158 0.8 19231 7735 40.2 5235 27.2 1942 10.1 1017 5.3 3302 17.2 2013 gemeinde
190113 937 743 194 79.3 Antdorf E 9 1.2 734 458 62.4 92 12.5 58 7.9 15 2 111 15.1 2013 gemeinde
190113 937 743 194 79.3 Antdorf Z 7 0.9 736 428 58.2 89 12.1 58 7.9 14 1.9 147 20 2013 gemeinde
175111 2856 2281 575 79.9 Anzing E 19 0.8 2262 1336 59.1 415 18.3 161 7.1 45 2 305 13.5 2013 gemeinde
175111 2856 2281 575 79.9 Anzing Z 15 0.7 2266 1242 54.8 360 15.9 167 7.4 47 2.1 450 19.9 2013 gemeinde
181111 859 638 221 74.3 Apfeldorf E 9 1.4 629 366 58.2 83 13.2 49 7.8 30 4.8 101 16.1 2013 gemeinde
181111 859 638 221 74.3 Apfeldorf Z 2 0.3 636 327 51.4 71 11.2 52 8.2 29 4.6 157 24.7 2013 gemeinde
778113 695 510 185 73.4 Apfeltrach E 0 0 510 329 64.5 46 9 17 3.3 18 3.5 100 19.6 2013 gemeinde
778113 695 510 185 73.4 Apfeltrach Z 2 0.4 508 308 60.6 50 9.8 25 4.9 17 3.3 108 21.3 2013 gemeinde
571113 1848 1207 641 65.3 Arberg, M E 18 1.5 1189 812 68.3 160 13.5 47 4 27 2.3 143 12 2013 gemeinde
571113 1848 1207 641 65.3 Arberg, M Z 20 1.7 1187 720 60.7 164 13.8 76 6.4 33 2.8 194 16.3 2013 gemeinde
185113 2163 1579 584 73 Aresing E 20 1.3 1559 1053 67.5 203 13 93 6 27 1.7 183 11.7 2013 gemeinde
185113 2163 1579 584 73 Aresing Z 8 0.5 1571 1004 63.9 183 11.6 94 6 26 1.7 264 16.8 2013 gemeinde
276113 1635 1029 606 62.9 Arnbruck E 18 1.7 1011 617 61 208 20.6 34 3.4 18 1.8 134 13.3 2013 gemeinde
276113 1635 1029 606 62.9 Arnbruck Z 9 0.9 1020 575 56.4 189 18.5 31 3 27 2.6 198 19.4 2013 gemeinde
372112 1561 942 619 60.3 Arnschwang E 1 0.1 941 659 70 113 12 24 2.6 27 2.9 118 12.5 2013 gemeinde
372112 1561 942 619 60.3 Arnschwang Z 7 0.7 935 531 56.8 107 11.4 45 4.8 38 4.1 214 22.9 2013 gemeinde
677114 6528 4817 1711 73.8 Arnstein, St E 59 1.2 4758 2823 59.3 847 17.8 282 5.9 152 3.2 654 13.7 2013 gemeinde
677114 6528 4817 1711 73.8 Arnstein, St Z 43 0.9 4774 2660 55.7 793 16.6 309 6.5 176 3.7 836 17.5 2013 gemeinde
277111 5226 2962 2264 56.7 Arnstorf, M E 30 1 2932 1930 65.8 457 15.6 159 5.4 58 2 328 11.2 2013 gemeinde
277111 5226 2962 2264 56.7 Arnstorf, M Z 29 1 2933 1832 62.5 438 14.9 162 5.5 67 2.3 434 14.8 2013 gemeinde
372113 2094 1158 936 55.3 Arrach E 6 0.5 1152 719 62.4 244 21.2 26 2.3 19 1.6 144 12.5 2013 gemeinde
372113 2094 1158 936 55.3 Arrach Z 16 1.4 1142 620 54.3 240 21 35 3.1 27 2.4 220 19.3 2013 gemeinde
479112 4416 2950 1466 66.8 Arzberg, St E 48 1.6 2902 1382 47.6 1083 37.3 128 4.4 149 5.1 160 5.5 2013 gemeinde
479112 4416 2950 1466 66.8 Arzberg, St Z 50 1.7 2900 1238 42.7 949 32.7 114 3.9 150 5.2 449 15.5 2013 gemeinde
779115 3080 2118 962 68.8 Asbach-Bäumenheim E 26 1.2 2092 1005 48 453 21.7 93 4.4 350 16.7 191 9.1 2013 gemeinde
779115 3080 2118 962 68.8 Asbach-Bäumenheim Z 24 1.1 2094 993 47.4 458 21.9 125 6 176 8.4 342 16.3 2013 gemeinde
278116 1213 838 375 69.1 Ascha E 12 1.4 826 504 61 173 20.9 19 2.3 16 1.9 114 13.8 2013 gemeinde
278116 1213 838 375 69.1 Ascha Z 8 1 830 479 57.7 148 17.8 25 3 16 1.9 162 19.5 2013 gemeinde
661000 50016 32918 17098 65.8 Aschaffenburg, Krfr. St E 664 2 32254 15545 48.2 8639 26.8 3427 10.6 1152 3.6 3491 10.8 2013 gemeinde
661000 50016 32918 17098 65.8 Aschaffenburg, Krfr. St Z 511 1.6 32407 14256 44 7535 23.3 3442 10.6 1438 4.4 5736 17.7 2013 gemeinde
183113 2323 1611 712 69.3 Aschau a.Inn E 16 1 1595 1029 64.5 241 15.1 65 4.1 51 3.2 209 13.1 2013 gemeinde
183113 2323 1611 712 69.3 Aschau a.Inn Z 18 1.1 1593 919 57.7 248 15.6 71 4.5 55 3.5 300 18.8 2013 gemeinde
187114 4363 3315 1048 76 Aschau i.Chiemgau E 27 0.8 3288 1966 59.8 338 10.3 360 10.9 70 2.1 554 16.8 2013 gemeinde
187114 4363 3315 1048 76 Aschau i.Chiemgau Z 20 0.6 3295 1845 56 436 13.2 278 8.4 77 2.3 659 20 2013 gemeinde
184112 5433 4265 1168 78.5 Aschheim E 19 0.4 4246 2454 57.8 816 19.2 369 8.7 90 2.1 517 12.2 2013 gemeinde
184112 5433 4265 1168 78.5 Aschheim Z 22 0.5 4243 2232 52.6 784 18.5 345 8.1 114 2.7 768 18.1 2013 gemeinde
175112 3290 2754 536 83.7 Aßling E 38 1.4 2716 1631 60.1 489 18 227 8.4 53 2 316 11.6 2013 gemeinde
175112 3290 2754 536 83.7 Aßling Z 35 1.3 2719 1444 53.1 448 16.5 236 8.7 66 2.4 525 19.3 2013 gemeinde
273115 1051 786 265 74.8 Attenhofen E 9 1.1 777 516 66.4 91 11.7 38 4.9 11 1.4 121 15.6 2013 gemeinde
273115 1051 786 265 74.8 Attenhofen Z 5 0.6 781 494 63.3 86 11 39 5 8 1 154 19.7 2013 gemeinde
178115 1897 1362 535 71.8 Attenkirchen E 7 0.5 1355 702 51.8 197 14.5 203 15 46 3.4 207 15.3 2013 gemeinde
178115 1897 1362 535 71.8 Attenkirchen Z 9 0.7 1353 654 48.3 200 14.8 145 10.7 55 4.1 299 22.1 2013 gemeinde
278117 1306 988 318 75.7 Atting E 6 0.6 982 631 64.3 151 15.4 37 3.8 20 2 143 14.6 2013 gemeinde
278117 1306 988 318 75.7 Atting Z 6 0.6 982 602 61.3 141 14.4 47 4.8 25 2.5 167 17 2013 gemeinde
178116 4270 3001 1269 70.3 Au i.d.Hallertau, M E 30 1 2971 1852 62.3 394 13.3 246 8.3 55 1.9 424 14.3 2013 gemeinde
178116 4270 3001 1269 70.3 Au i.d.Hallertau, M Z 20 0.7 2981 1748 58.6 349 11.7 184 6.2 75 2.5 625 21 2013 gemeinde
679114 1137 894 243 78.6 Aub, St E 5 0.6 889 583 65.6 104 11.7 64 7.2 18 2 120 13.5 2013 gemeinde
679114 1137 894 243 78.6 Aub, St Z 7 0.8 887 505 56.9 120 13.5 76 8.6 24 2.7 162 18.3 2013 gemeinde
673113 618 441 177 71.4 Aubstadt E 6 1.4 435 242 55.6 71 16.3 34 7.8 21 4.8 67 15.4 2013 gemeinde
673113 618 441 177 71.4 Aubstadt Z 9 2 432 211 48.8 71 16.4 24 5.6 15 3.5 111 25.7 2013 gemeinde
